DATE,OCCounter,FairCounter,PendingCounter
2024-01-09 16:23:47,167672,93302,520
2024-01-09 18:18:36,167731,93313,523
2024-01-09 20:19:15,167731,93313,523
2024-01-09 22:17:25,167731,93313,523
2024-01-10 01:20:17,167731,93313,523
2024-01-10 02:30:34,167731,93313,523
2024-01-10 04:22:16,167731,93313,523
2024-01-10 06:23:46,167731,93313,523
2024-01-10 08:22:57,167731,93313,523
2024-01-10 10:19:33,167731,93313,523
2024-01-10 12:34:42,167731,93313,523
2024-01-10 14:17:20,167731,93313,523
2024-01-10 16:24:18,167731,93313,523
2024-01-10 18:23:01,167731,93313,523
2024-01-10 20:19:21,167731,93313,523
2024-01-10 22:17:20,167731,93313,523
2024-01-11 01:20:05,167731,93313,523
2024-01-11 02:31:22,167731,93313,523
2024-01-11 04:22:06,167731,93313,523
2024-01-11 06:23:50,167731,93313,523
2024-01-11 08:23:20,167731,93313,523
2024-01-11 10:19:39,167731,93313,523
2024-01-11 12:34:30,167731,93313,523
2024-01-11 14:17:23,167731,93313,523
2024-01-11 16:24:18,167731,93313,523
2024-01-11 18:22:27,167831,93338,525
2024-01-11 20:19:57,167831,93338,525
2024-01-11 22:17:21,167831,93338,525
2024-01-12 01:20:20,167831,93338,525
2024-01-12 02:31:55,167831,93338,525
2024-01-12 04:22:43,167831,93338,525
2024-01-12 06:24:02,167831,93338,525
2024-01-12 08:23:12,167831,93338,525
2024-01-12 10:19:39,167831,93338,525
2024-01-12 12:33:56,167831,93338,525
2024-01-12 14:17:04,167831,93338,525
2024-01-12 16:23:35,167831,93338,525
2024-01-12 18:22:40,167895,93345,528
2024-01-12 20:18:49,167895,93345,528
2024-01-12 22:16:46,167895,93345,528
2024-01-13 01:19:11,167895,93345,528
2024-01-13 02:29:38,167895,93345,528
2024-01-13 04:22:06,167895,93345,528
2024-01-13 06:22:04,167895,93345,528
2024-01-13 08:21:17,167895,93345,528
2024-01-13 10:18:25,167895,93345,528
2024-01-13 12:32:20,167895,93345,528
2024-01-13 14:15:43,167895,93345,528
2024-01-13 16:21:47,167895,93345,528
2024-01-13 18:21:26,167951,93356,528
2024-01-13 20:18:02,167951,93356,528
2024-01-13 22:16:47,167951,93356,528
